uuid,mtgo,mtgoFoil,paper,paperFoil
00c34f2b-2aff-59e4-90a1-82cb426f1f61,0.15,0.1,0.42,0.0
00c40d54-e3c9-5626-87ad-7ecc520546f8,0.0,0.0,0.0,3.84
00c56ec2-0c41-555b-b73f-34aa5479129c,0.01,0.02,0.02,0.13
00c64995-a093-58cf-80b7-f8f0e7c8e3b1,0.01,0.01,0.15,0.99
00c67567-3644-529c-9b22-7164f5479313,0.67,0.0,1.85,0.0
00c71429-fbb1-5fb3-a3dc-efc2830dd93f,0.0,0.0,0.14,0.0
00c7b77e-50c2-564f-b04b-904d49c47427,0.0,0.0,549.99,0.0
00c9e38d-b665-5e2f-8761-ee6ad557ffe8,0.02,0.0,0.17,0.0
00cb47e0-88f2-5e2f-a72c-45afb3adfa18,0.0,0.0,0.21315789473684219,0.0
00cc297f-f86f-5a62-a701-0177e39eae09,0.01,0.02,0.16,0.0
00cf4994-f82e-5f02-8ec7-28c876d8d6e8,0.020000000000000004,0.020000000000000004,0.2821052631578947,1.2468421052631575
00cfb0dd-430e-546f-b9e5-7e12422fda1a,0.03760000000000001,0.054090909090909106,0.0,0.0
00d0584a-e1d4-5a57-acc6-02c22d58dc5a,0.03,0.01,0.06,0.27
00d20329-809b-5644-bc4c-e3393126a344,0.0,0.0,0.16,0.9
00d34ac1-d681-5570-87c7-185cdf671a13,0.03,0.02,0.02,0.17
00d658b7-c35d-5a77-8a34-07fe468d89da,0.0,0.0,0.1,0.0
00d6ceb7-1c58-5644-9079-2b241fd22478,0.03,0.02,0.08,0.25
00d6e8fa-7e64-5aa6-b9fd-bf93b55aac3a,0.0,0.0,0.0,0.0
00d6eae9-4e97-56ad-a80e-f324eb795cd5,0.0,0.0,2.13,0.0
00dae5b5-316d-56e0-9acc-0827f37db1d4,0.04,0.05,0.92,4.87
00db8073-cab6-512f-b38a-39d61c9bdea2,0.02,0.24,1.02,3.91
00dd436e-8b49-5c55-a00c-e48614c0bc21,0.0,0.0,0.06,0.0
00dd7c7c-e35a-521c-a96b-bb365da9f281,0.0,0.0,5.75,0.0
00de3931-a548-5705-8f95-54e45364245a,0.03,0.26,0.38,0.0
00df2d4f-3d69-546f-9563-da130c861f2b,0.0,0.0,0.0,0.0
00e025f1-5b3f-5ae0-be8b-90c41cba2953,0.0,0.0,299.99,0.0
00e303db-2668-5ab1-a971-92fbc186155a,0.0,0.0,0.0,0.24
00e3b70a-90c7-5511-8390-eed7a93d0aba,0.010000000000000002,0.04000000000000001,0.0,0.0
00e51520-f020-51dc-98e3-35fcfde28150,0.05,0.03,0.14,0.41000000000000003
00e5461a-b77d-5590-8674-98e78f411105,0.0,0.0,0.14999999999999997,0.2854545454545455
00e57301-3dc7-50f1-8fac-ed4e2d6767cf,0.0,0.0,0.0,9.76
00e7c1fb-2109-5567-b260-755d9ea9afa0,0.0,0.0,1.33,0.0
00e94abe-b4b5-5998-a286-f81a8e89f58f,0.0,0.0,0.0,2.31
00ea9aaa-778c-5010-954a-c3a9b2f44765,0.01,0.03,0.22,0.0
00eb4477-6470-5a6e-9e7f-36d4feabc6ed,0.0,0.0,0.36,0.0
00ecd24c-ac30-5f55-ab81-1d5995d6e48c,0.037391304347826095,0.04347826086956524,0.0,0.0
00ecdefd-0445-576e-a9a5-f5b21aa177e9,0.01,0.02,0.07,0.29
00edc4a4-e2d2-51af-8f14-c7e2f4e5946d,0.01,0.01,0.16,1.0
00f193f9-e9ac-51b8-b5b3-94ce1a7e7f6f,0.01,0.01,0.06,0.0
00f292bf-0d21-5f95-9d46-43f59e44b9ac,0.0,0.0,3.8036842105263147,0.0
00f4b5f5-fe90-55e4-8ae8-185e136b2e2b,0.0,0.0,0.04,0.13
00f61f45-9c52-53f2-b9fa-072fdd5c96e5,0.04,0.01,0.11,0.33
00f70235-2cda-5027-95d9-9730b6d3dbab,0.0,0.0,0.1168421052631579,0.0
00f789fc-c808-5051-acf7-c70989b4b2a5,0.0,0.0,0.0,0.0
00f82656-bd77-573a-a400-c87e9e11695a,0.04,0.0,0.33,0.0
00f82ff3-c8fa-5aa5-9c51-46827b0e0fef,0.0,0.0,3.99,0.0
00f89b30-ca80-5b18-ad77-7f41d4007a8f,0.04,0.03,0.46,1.29
00f91a19-fe76-57ce-95ee-6eb33b394210,0.41000000000000003,0.4,2.7199999999999998,0.0
00f92b71-0428-52e1-b78b-459f8ecd2137,0.03,0.01,0.07,0.28
00f9490a-8ba8-58b3-80e9-3441f01ae517,0.04,0.04,0.1,0.0
